MaTinh,TenTinh
1,Ha Noi
2,Ha Giang
3,Cao Bang
4,Bac Kan
5,Tuyen Quang
6,Lao Cai
7,Dien Bien
8,Lai Chau
9,Son La
10,Yen Bai
11,Hoa Binh
12,Thai Nguyen
13,Lang Son
14,Quang Ninh
15,Bac Giang
16,Phu Tho
17,Vinh Phuc
18,Bac Ninh
19,Hai Duong
20,Hai Phong
21,Hung Yen
22,Thai Binh
23,Ha Nam
24,Nam Dinh
25,Ninh Binh
26,Thanh Hoa
27,Nghe An
28,Ha Tinh
29,Quang Binh
30,Quang Tri
31,Thua Thien Hue
32,Da Nang
33,Quang Nam
34,Quang Ngai
35,Binh Dinh
36,Phu Yen
37,Khanh Hoa
38,Ninh Thuan
39,Binh Thuan
40,Kon Tum
41,Gia Lai
42,Dak Lak
43,Dak Nong
44,Lam Dong
45,Binh Phuoc
46,Tay Ninh
47,Binh Duong
48,Dong Nai
49,Ba Ria - Vung Tau
50,Ho Chi Minh
51,Long An
52,Tien Giang
53,Ben Tre
54,Tra Vinh
55,Vinh Long
56,Dong Thap
57,An Giang
58,Kien Giang
59,Can Tho
60,Hau Giang
61,Soc Trang
62,Bac Lieu
63,Ca Mau
